Designator,Mid X,Mid Y,Layer,Rotation
C7,109.800000,-106.400000,Bottom,0.000000
SW1,113.800000,-117.000000,Bottom,180.000000
C1,101.500000,-105.200000,Top,0.000000
C2,101.500000,-103.550000,Top,0.000000
C3,107.100000,-120.550000,Top,90.000000
C4,109.300000,-120.000000,Top,90.000000
C5,106.550000,-123.850000,Top,0.000000
C6,109.300000,-122.750000,Top,90.000000
C8,106.200000,-107.900000,Top,180.000000
C9,107.000000,-112.800000,Top,90.000000
C10,113.100000,-112.400000,Top,0.000000
C11,109.450000,-112.400000,Top,0.000000
C12,107.500000,-105.400000,Top,-90.000000
C13,111.700000,-105.700000,Top,-90.000000
C14,117.000000,-104.950000,Top,90.000000
C15,119.200000,-104.950000,Top,90.000000
C16,117.200000,-113.000000,Top,90.000000
C17,119.500000,-113.000000,Top,90.000000
C18,114.900000,-106.400000,Top,90.000000
C19,99.000000,-91.000000,Top,90.000000
C20,97.350000,-91.000000,Top,90.000000
C21,100.650000,-91.550000,Top,90.000000
C22,101.850000,-92.500000,Top,90.000000
C23,97.450000,-94.150000,Top,90.000000
C24,102.950000,-92.500000,Top,90.000000
C25,100.000000,-82.000000,Top,0.000000
C26,100.000000,-83.650000,Top,0.000000
C27,106.600000,-85.900000,Top,90.000000
C28,108.250000,-85.350000,Top,90.000000
C29,106.600000,-83.700000,Top,90.000000
C30,109.900000,-85.900000,Top,90.000000
C31,120.300000,-97.800000,Top,90.000000
C34,111.550000,-85.350000,Top,90.000000
C35,108.250000,-83.150000,Top,0.000000
C36,99.450000,-88.100000,Top,90.000000
C37,99.550000,-93.200000,Top,0.000000
D1,101.600000,-116.150000,Top,0.000000
D2,121.700000,-99.700000,Top,90.000000
FB1,98.200000,-105.700000,Top,90.000000
J1,100.000000,-122.000000,Top,0.000000
J2,84.000000,-118.000000,Top,0.000000
J3,100.000000,-111.500000,Top,0.000000
J4,123.100000,-95.000000,Top,0.000000
L1,113.800000,-109.100000,Top,-90.000000
L2,122.000000,-108.900000,Top,-90.000000
L3,118.500000,-95.000000,Top,0.000000
Q1,102.200000,-88.300000,Top,90.000000
R1,101.500000,-106.850000,Top,0.000000
R2,103.700000,-105.200000,Top,90.000000
R3,101.500000,-102.450000,Top,0.000000
R4,101.500000,-107.950000,Top,0.000000
R5,104.800000,-105.200000,Top,90.000000
R6,99.850000,-103.000000,Top,90.000000
R7,103.150000,-103.000000,Top,90.000000
R8,103.150000,-107.400000,Top,90.000000
R9,99.850000,-107.400000,Top,90.000000
R12,111.500000,-118.900000,Top,0.000000
R13,107.000000,-117.000000,Top,0.000000
R14,107.000000,-115.600000,Top,0.000000
R15,115.800000,-116.900000,Top,90.000000
R16,102.000000,-114.500000,Top,0.000000
R17,108.800000,-103.000000,Top,0.000000
R18,113.200000,-105.950000,Top,90.000000
R19,113.750000,-104.300000,Top,0.000000
R20,113.200000,-114.200000,Top,0.000000
R21,112.200000,-120.200000,Top,0.000000
R22,112.000000,-102.300000,Top,0.000000
R23,114.200000,-102.300000,Top,0.000000
R24,115.500000,-111.800000,Top,90.000000
R25,115.500000,-114.000000,Top,-90.000000
R26,117.000000,-102.300000,Top,0.000000
R27,97.900000,-88.800000,Top,0.000000
R28,97.900000,-87.700000,Top,0.000000
R29,95.700000,-87.700000,Top,0.000000
R30,97.900000,-97.050000,Top,90.000000
R31,102.850000,-94.850000,Top,90.000000
R32,107.150000,-77.100000,Top,0.000000
R33,118.650000,-98.300000,Top,180.000000
R34,109.850000,-104.900000,Top,90.000000
SW2,83.500000,-85.500000,Top,0.000000
SW3,89.000000,-82.000000,Top,0.000000
SW4,123.000000,-104.000000,Top,90.000000
U1,86.600000,-98.300000,Top,0.000000
U2,110.000000,-109.100000,Top,0.000000
U3,118.300000,-108.900000,Top,0.000000
U4,110.500000,-116.200000,Top,0.000000
U5,100.300000,-96.000000,Top,90.000000
U6,100.000000,-79.200000,Top,0.000000
U7,107.400000,-79.800000,Top,0.000000
U8,112.500000,-81.500000,Top,0.000000
U9,115.000000,-84.500000,Top,0.000000
U10,112.200000,-95.000000,Top,0.000000
U11,105.200000,-116.400000,Top,0.000000
