Ref,Val,Package,PosX,PosY,Rot,Side
"C7","47nF/10V","C_0402_1005Metric",109.800000,-106.400000,0.000000,bottom
"SW1","POWER_QON","SW_SPST_EVQP7C",113.800000,-117.000000,180.000000,bottom
"C1","10uF/6.3V","C_0603_1608Metric",101.500000,-105.200000,0.000000,top
"C2","100nF","C_0402_1005Metric",101.500000,-103.550000,0.000000,top
"C3","4.7nF/1kV","C_1206_3216Metric",107.100000,-120.550000,90.000000,top
"C4","10uF/10V","C_0603_1608Metric",109.300000,-120.000000,90.000000,top
"C5","100nF","C_0402_1005Metric",106.550000,-123.850000,0.000000,top
"C6","100nF","C_0402_1005Metric",109.300000,-122.750000,90.000000,top
"C8","4.7uF/10V","C_0603_1608Metric",106.200000,-107.900000,180.000000,top
"C9","10uF/10V","C_0603_1608Metric",107.000000,-112.800000,90.000000,top
"C10","22uF/10V","C_0805_2012Metric",113.100000,-112.400000,0.000000,top
"C11","22uF/10V","C_0805_2012Metric",109.450000,-112.400000,0.000000,top
"C12","10uF/10V","C_0603_1608Metric",107.500000,-105.400000,-90.000000,top
"C13","1uF/25V","C_0603_1608Metric",111.700000,-105.700000,-90.000000,top
"C14","10uF/10V","C_0805_2012Metric",117.000000,-104.950000,90.000000,top
"C15","10uF/10V","C_0805_2012Metric",119.200000,-104.950000,90.000000,top
"C16","22uF/6.3V","C_0805_2012Metric",117.200000,-113.000000,90.000000,top
"C17","22uF/6.3V","C_0805_2012Metric",119.500000,-113.000000,90.000000,top
"C18","100nF","C_0402_1005Metric",114.900000,-106.400000,90.000000,top
"C19","10uF/6.3V","C_0603_1608Metric",99.000000,-91.000000,90.000000,top
"C20","100nF","C_0402_1005Metric",97.350000,-91.000000,90.000000,top
"C21","1uF","C_0402_1005Metric",100.650000,-91.550000,90.000000,top
"C22","100nF","C_0402_1005Metric",101.850000,-92.500000,90.000000,top
"C23","2.2uF","C_0603_1608Metric",97.450000,-94.150000,90.000000,top
"C24","100nF","C_0402_1005Metric",102.950000,-92.500000,90.000000,top
"C25","2.2uF","C_0603_1608Metric",100.000000,-82.000000,0.000000,top
"C26","220nF","C_0402_1005Metric",100.000000,-83.650000,0.000000,top
"C27","1uF","C_0402_1005Metric",106.600000,-85.900000,90.000000,top
"C28","2.2uF","C_0603_1608Metric",108.250000,-85.350000,90.000000,top
"C29","100nF","C_0402_1005Metric",106.600000,-83.700000,90.000000,top
"C30","100nF","C_0402_1005Metric",109.900000,-85.900000,90.000000,top
"C31","100pF_C0G","C_0402_1005Metric",120.300000,-97.800000,90.000000,top
"C34","10uF","C_0603_1608Metric",111.550000,-85.350000,90.000000,top
"C35","100nF","C_0402_1005Metric",108.250000,-83.150000,0.000000,top
"C36","100nF_VBCKP","C_0402_1005Metric",99.450000,-88.100000,90.000000,top
"C37","33pF_C0G","C_0402_1005Metric",99.550000,-93.200000,0.000000,top
"D1","ESD5Z5.0T1G","D_SOD-523",101.600000,-116.150000,0.000000,top
"D2","ESD3Z5V0BU_low-C","D_SOD-882",121.700000,-99.700000,90.000000,top
"FB1","120R@100MHz_2A","L_0603_1608Metric",98.200000,-105.700000,90.000000,top
"J1","XKB_U262-16XN-4BVC11_CANDIDATE","USB_C_XKB_U262-16XN-4BVC11_MOTO_REVA",100.000000,-122.000000,0.000000,top
"J2","1S_LiPo_10k_NTC_PROTECTED","JST_SH_SM03B-SRSS-TB_MOTO_REVA",84.000000,-118.000000,0.000000,top
"J3","XUNPU_FPC-0.3FX-31PWBH10_CANDIDATE","XUNPU_FPC-0.3FX-31PWBH10",100.000000,-111.500000,0.000000,top
"J4","U.FL_GNSS_ACTIVE_ANT","UFL_Hirose_UFL-R-SMT-1_MOTO_REVA",123.100000,-95.000000,0.000000,top
"L1","1uH_4A_5.6A_sat_C5832370","L_Changjiang_FTC252012S",113.800000,-109.100000,-90.000000,top
"L2","1uH_4A_5.6A_sat_C5832370","L_Changjiang_FTC252012S",122.000000,-108.900000,-90.000000,top
"L3","68nH_high-SRF","L_0402_1005Metric",118.500000,-95.000000,0.000000,top
"Q1","2N7002","SOT-23",102.200000,-88.300000,90.000000,top
