Reference,Pin,PinName,ElectricalType,Net
U1,1,GND,W,GND
U1,3,EN,I,MCU_EN
U1,5,IO5,B,LCD_SIO1_MCU
U1,7,IO7,B,LCD_SIO3_MCU
U1,9,IO16,B,NC
U1,11,IO18,B,GNSS_UART_RX_3V3
U1,13,USB_D-,B,USB_D_N_MCU
U1,15,IO3,B,NC
U1,17,IO9,B,NC
U1,19,IO11,B,TP_INT_N
U1,21,IO13,B,LCD_TE
U1,23,IO21,B,QMI_INT1
U1,25,IO48,B,TYPEC_INT_N
U1,27,IO0,B,BOOT_N
U1,29,IO36,B,NC
U1,31,IO38,B,LCD_CLK_MCU
U1,33,IO40,B,CHARGER_INT_N
U1,35,IO42,B,MAG_DRDY
U1,37,TXD0/IO43,B,UART0_TX
U1,39,IO1,B,LCD_RESET_N
U1,41,EP_GND,W,GND
U1,2,3V3,W,3V3
U1,4,IO4,B,LCD_SIO0_MCU
U1,6,IO6,B,LCD_SIO2_MCU
U1,8,IO15,B,I2C_SDA
U1,10,IO17,B,GNSS_UART_TX_3V3
U1,12,IO8,B,NC
U1,14,USB_D+,B,USB_D_P_MCU
U1,16,IO46,B,NC
U1,18,IO10,B,FUNC_KEY_N
U1,20,IO12,B,LCD_CS_N_MCU
U1,22,IO14,B,I2C_SCL
U1,24,IO47,B,GNSS_RESET_DRV
U1,26,IO45,B,NC
U1,28,IO35,B,NC
U1,30,IO37,B,NC
U1,32,IO39,B,QMI_INT2
U1,34,IO41,B,GNSS_PPS_3V3
U1,36,RXD0/IO44,B,UART0_RX
U1,38,IO2,B,TP_RESET_N
U1,40,GND,W,GND
J3,1,FPC_1,P,GND
J3,3,FPC_3,P,NC
J3,5,FPC_5,P,NC
J3,7,FPC_7,P,GND
J3,9,FPC_9,P,NC
J3,11,FPC_11,P,LCD_TE
J3,13,FPC_13,P,LCD_SIO3
J3,15,FPC_15,P,LCD_SIO1
J3,17,FPC_17,P,LCD_CS_N
J3,19,FPC_19,P,NC
J3,21,FPC_21,P,3V3_DISPLAY
J3,23,FPC_23,P,3V3_DISPLAY
J3,25,FPC_25,P,GND
J3,27,FPC_27,P,I2C_SCL
J3,29,FPC_29,P,TP_RESET_N
J3,31,FPC_31,P,GND
J3,2,FPC_2,P,NC
J3,4,FPC_4,P,GND
J3,6,FPC_6,P,NC
J3,8,FPC_8,P,NC
J3,10,FPC_10,P,GND
J3,12,FPC_12,P,LCD_SIO2
J3,14,FPC_14,P,LCD_CLK
J3,16,FPC_16,P,LCD_SIO0
J3,18,FPC_18,P,LCD_RESET_N
J3,20,FPC_20,P,GND
J3,22,FPC_22,P,3V3_DISPLAY
J3,24,FPC_24,P,3V3_DISPLAY
J3,26,FPC_26,P,3V3_DISPLAY
J3,28,FPC_28,P,I2C_SDA
J3,30,FPC_30,P,TP_INT_N
J1,A1,GND,P,GND
J1,A5,CC1,B,USB_CC1
J1,A7,D-,B,USB_D_N_CONN
J1,A9,VBUS,P,USB_VBUS
J1,B1,GND,P,GND
J1,B5,CC2,B,USB_CC2
J1,B7,D-,B,USB_D_N_CONN
J1,B9,VBUS,P,USB_VBUS
J1,S1,SHIELD,P,USB_SHIELD
J1,A4,VBUS,P,USB_VBUS
J1,A6,D+,B,USB_D_P_CONN
J1,A8,SBU1,P,NC
J1,A12,GND,P,GND
J1,B4,VBUS,P,USB_VBUS
J1,B6,D+,B,USB_D_P_CONN
J1,B8,SBU2,P,NC
J1,B12,GND,P,GND
U11,1,D+,P,USB_D_P_CONN
U11,3,D-,P,USB_D_N_CONN
U11,2,GND,W,GND
U4,1,CC1,B,USB_CC1
U4,3,PORT,I,GND
U4,5,ADDR,I,GND
U4,7,SDA/OUT1,B,I2C_SDA
U4,9,ID,C,NC
U4,11,EN_N,I,GND
U4,2,CC2,B,USB_CC2
U4,4,VBUS_DET,I,TYPEC_VBUS_DET
U4,6,INT_N/OUT3,C,TYPEC_INT_N
U4,8,SCL/OUT2,B,I2C_SCL
U4,10,GND,W,GND
U4,12,VDD,W,3V3
U2,1,BTST,P,BQ_BTST
U2,3,PG,C,CHARGER_PG_N
U2,5,TS_BIAS,w,BQ_TS_BIAS
U2,7,QON,I,BQ_QON
U2,9,SYS,w,SYS
U2,11,INT,C,CHARGER_INT_N
U2,13,SCL,I,I2C_SCL
U2,15,GND,W,GND
U2,17,PMID,P,BQ_PMID
U2,2,REGN,w,BQ_REGN
U2,4,ILIM,B,BQ_ILIM
U2,6,TS,I,BAT_TS
U2,8,BAT,W,BAT
U2,10,STAT,C,CHARGER_STAT_N
U2,12,SDA,B,I2C_SDA
U2,14,CE,I,BQ_CE_N
U2,16,SW,w,BQ_SW
U2,18,VBUS,W,USB_VBUS
J2,1,BAT+,P,BAT
J2,3,BAT-,P,GND
J2,2,NTC,P,BAT_TS
U3,1,PS/SYNC,I,TPS_EN_SYNC
U3,3,VAUX,w,TPS63070_VAUX
U3,5,FB,I,TPS63070_FB
U3,7,VOUT,w,3V3
U3,9,L2,w,TPS63070_L2
U3,11,L1,w,TPS63070_L1
U3,13,VIN,W,SYS
U3,15,VSEL,I,GND
U3,2,PG,C,3V3_PG_N
U3,4,GND,W,GND
U3,6,FB2,P,NC
U3,8,VOUT,P,3V3
U3,10,PGND,W,GND
U3,12,VIN,W,SYS
U3,14,EN,I,TPS_EN_SYNC
U5,1,SDO/SA0,I,GND
U5,3,SCx,B,NC
U5,5,VDDIO,W,3V3
U5,7,GND,W,GND
U5,9,INT2,O,QMI_INT2
U5,11,RESV-NC,N,NC
U5,13,SCL,B,I2C_SCL
U5,2,SDx,B,NC
U5,4,INT1,O,QMI_INT1
U5,6,GND,W,GND
U5,8,VDD,W,3V3
U5,10,RESV,I,3V3
U5,12,CS,I,3V3
U5,14,SDA,B,I2C_SDA
U6,1,SCL/SPC,I,I2C_SCL
U6,3,CS,I,3V3
U6,5,C1,P,LIS2MDL_C1
